"","X","SEX","RACE","RELIG","FUND","MARITAL","ATTEND","PREMARSX","XMARSEX","HOMOSEX","TEENSEX","ABANY","CAPPUN","GUNLAW","GRASS","PRAYER","NATCITY","NATHEAL","NATCRIME","NATDRUG","NATEDUC","NATRACE","NATFARE","NATROAD","NATMASS","CONCLERG","CONEDUC","CONFED","CONPRESS","CONJUDGE","CONLEGIS","FECHLD","FEHELP","FEPRESCH","FEFAM","RACDIF1","LIVEBLKS","MARBLK","DISCAFF","PARTY","IDEOLOGY","AGESUM","INCOME","EDUC2","REGION2","CITY","RURAL","PROT","NEWFUND"
"174",174,"male","Other","Other",NA,"Never married","NEVER",NA,NA,NA,NA,NA,NA,"Favor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Too little",NA,"Hardly confidnce","some confidence",NA,"great confidence",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","18 to 29",NA,"less than h.s. diploma","Northeast","central city (top 100)",0,0,NA
"175",175,"female","White","Catholic","moderate","Never married","ONCE OR TWICE YR",NA,NA,"Not wrong at all",NA,"No","Favor","Favor","Should not",NA,"About right","Too little","About right","About right","Too little","Too little","Too much","Too little","About right","great confidence","some confidence","Hardly confidnce","some confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","liberal","18 to 29","$35,000 to $59,000","some college","Northeast","central city (top 100)",0,0,NA
"176",176,"female","White","Catholic","moderate","Married","ONCE A MONTH","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,NA,NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","great confidence","some confidence","some confidence","great confidence","some confidence","Agree","Strong disagree","Disagree",NA,"No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent",NA,"30 to 44","$20,000 to $34,999","some college","Northeast","central city (top 100)",0,0,NA
"177",177,"male","Other","Protestant","fundamentalist","Never married","ONCE OR TWICE YR","Not wrong at all","Not wrong at all","Not wrong at all","Not wrong at all","Yes","Oppose","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Strong disagree","Yes","Somewhat Favor","Very Much Favor","Not very likely","Independent","liberal","18 to 29","under $20,000","college graduate","Northeast","central city (top 100)",0,1,3
"178",178,"male","Other","None","liberal","Divorced","NEVER","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,"Should","Disapprove","Too little","About right","Too little","About right","Too little","About right","Too much","Too little","About right","some confidence","some confidence","Hardly confidnce","some confidence","Hardly confidnce","Hardly confidnce","Agree","Disagree",NA,"Agree","No","Somewhat Opposed","Somewhat Opposed",NA,"Democrat","moderate","45 to 59",NA,"high school graduate","Northeast","central city (top 100)",0,0,1
"179",179,"female","Black","Protestant","fundamentalist","Divorced","ONCE OR TWICE YR",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should",NA,"Too much","About right","About right","About right","About right","About right","About right","About right","Too little",NA,"great confidence","Hardly confidnce","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","liberal","18 to 29","under $20,000","less than h.s. diploma","Northeast","central city (top 100)",0,1,3
"180",180,"male","White","Catholic","moderate","Married","LESS ONCE A YEAR",NA,"Almst alwys wrng","Always wrong",NA,"No",NA,"Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Republican","conservative","60 or older","$35,000 to $59,000","college graduate","Northeast","other urban county",0,0,NA
"181",181,"male","White","None","liberal","Separated","NEVER",NA,"Always wrong",NA,NA,"Yes","Favor","Favor","Should not",NA,"About right","About right","About right","Too little","About right","Too much","Too much","About right","About right","some confidence","some confidence","some confidence","great confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent","liberal","30 to 44","under $20,000","high school graduate","Northeast","other urban county",0,0,1
"182",182,"female","White","Catholic","moderate","Married","SEVERAL TIMES YR","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,NA,"Approve","About right","Too little","About right","Too little","Too little","About right","About right","About right","About right","some confidence","some confidence","some confidence","Hardly confidnce","great confidence","some confidence","Agree","Disagree",NA,"Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","moderate","30 to 44","$60,000 or more","college graduate","Northeast","other urban county",0,0,NA
"183",183,"male","White","None","liberal","Married","ONCE OR TWICE YR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Disapprove","Too little","Too little","Too little","Too little","Too little",NA,"Too much","About right","Too little",NA,"some confidence","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","Agree","Strong disagree","Strong disagree","Strong disagree",NA,"Not Favor/Opposd","Not Favor/Opposd",NA,"Democrat","moderate","45 to 59",NA,"college graduate","Northeast","other urban county",0,0,1
"184",184,"female","White","Catholic","moderate","Married","SEVERAL TIMES YR","Wrong sometimes","Always wrong","Wrong sometimes","Almst alwys wrng","No",NA,"Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Somewhat Opposed","Not Favor/Opposd","Not very likely","Independent","conservative","30 to 44","$60,000 or more","college graduate","Northeast","other urban county",0,0,NA
"185",185,"female","White","Catholic","moderate","Never married","2-3 TIMES MONTH",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,"Too little","Too little","About right","About right","About right","Too much",NA,"About right","About right","great confidence","great confidence","great confidence","some confidence","some confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","liberal","18 to 29","$60,000 or more","high school graduate","Northeast","other urban county",0,0,NA
"186",186,"male","Other","Protestant","fundamentalist","Never married","2-3 TIMES MONTH","Not wrong at all",NA,NA,NA,NA,"Favor",NA,NA,"Approve","About right","Too little","Too little","Too little","About right","About right","Too much","Too much","About right",NA,"some confidence","some confidence","Hardly confidnce","some confidence",NA,"Agree","Disagree",NA,NA,"Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","liberal","18 to 29","$20,000 to $34,999","high school graduate","Northeast","suburb of biggest 100 cities",0,1,3
"187",187,"male","Other","Catholic","moderate","Never married","2-3 TIMES MONTH","Not wrong at all",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","great confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Strongly agree","Strong disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","conservative","18 to 29","under $20,000","high school graduate","Northeast","suburb of biggest 100 cities",0,0,NA
"188",188,"male","Other","Protestant","fundamentalist","Married","NEVER",NA,"Always wrong","Always wrong",NA,"Yes",NA,"Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","Hardly confidnce","some confidence","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","30 to 44","$60,000 or more","high school graduate","Northeast","suburb of biggest 100 cities",0,1,3
"189",189,"female","White","Catholic","moderate","Married","2-3 TIMES MONTH",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,"some confidence","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","liberal","45 to 59","$35,000 to $59,000","less than h.s. diploma","Northeast","suburb of biggest 100 cities",0,0,NA
"190",190,"male","Black","Protestant","fundamentalist","Never married","LESS ONCE A YEAR","Not wrong at all","Always wrong",NA,"Almst alwys wrng","Yes","Favor","Favor",NA,"Approve","About right","About right","Too little","Too little","Too little","About right","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Very Much Favor","Somewhat likely","Independent","moderate","18 to 29","$60,000 or more","high school graduate","Northeast","suburb of biggest 100 cities",0,1,3
"191",191,"female","Black","None","liberal","Never married","NEVER",NA,"Always wrong","Almst alwys wrng",NA,"No","Favor","Favor","Should",NA,"Too little","Too much","Too little","Too much","Too little","Too little","Too little","About right","Too little","Hardly confidnce","great confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","liberal","30 to 44","under $20,000","high school graduate","Northeast","suburb of biggest 100 cities",0,0,1
"192",192,"female","Other","Protestant","moderate","Married","EVERY WEEK","Always wrong","Always wrong","Always wrong","Always wrong","No","Oppose","Favor",NA,"Disapprove","Too little","About right","About right","Too little","Too little","Too little","About right","Too little","Too little",NA,NA,NA,NA,NA,NA,"Disagree","Strong disagree","Strongly agree","Strongly agree","No","Somewhat Favor","Somewhat Opposed","Somewhat likely","Independent","moderate","30 to 44","$35,000 to $59,000","some college","Northeast","suburb of biggest 100 cities",0,1,NA
"193",193,"female","Black","Protestant","liberal","Married","2-3 TIMES MONTH",NA,"Always wrong","Not wrong at all",NA,"Yes","Oppose","Favor","Should not",NA,"About right","About right","About right","About right","Too little","Too little","Too little","About right","Too little","great confidence","great confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","liberal","30 to 44","$35,000 to $59,000","high school graduate","Northeast","suburb of biggest 100 cities",0,1,1
"194",194,"female","Black","Protestant","fundamentalist","Married","2-3 TIMES MONTH","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Oppose",NA,"Should not","Disapprove","Too little","Too little","Too little","Too little","Too little","Too little","Too much","Too little","About right","great confidence","great confidence","great confidence","Hardly confidnce",NA,"great confidence","Agree","Disagree","Disagree","Disagree","Yes","Somewhat Favor","Very Much Favor",NA,"Democrat","moderate","60 or older","$20,000 to $34,999","some college","Northeast","suburb of biggest 100 cities",0,1,3
"195",195,"female","Black","Protestant","fundamentalist","Never married","LESS ONCE A YEAR","Not wrong at all","Almst alwys wrng","Not wrong at all","Always wrong","Yes","Oppose","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too much",NA,NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Strong disagree",NA,"Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","liberal","30 to 44","$20,000 to $34,999","high school graduate","Northeast","suburb of biggest 100 cities",0,1,3
"196",196,"male","Black","None","liberal","Separated","NEVER",NA,"Always wrong","Not wrong at all",NA,"Yes","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","great confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent","moderate","30 to 44","$20,000 to $34,999","some college","Northeast","suburb of biggest 100 cities",0,0,1
"197",197,"female","White","Catholic","moderate","Married","LESS ONCE A YEAR",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,"Too little","Too little","Too little","Too little","Too little","Too little","Too much",NA,NA,"great confidence","some confidence","some confidence","some confidence","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Independent",NA,"30 to 44","$60,000 or more","high school graduate","Northeast","central city (top 100)",0,0,NA
"198",198,"female","White","Catholic","moderate","Divorced","EVERY WEEK",NA,"Almst alwys wrng","Always wrong",NA,"No",NA,"Favor","Should not",NA,"About right","About right","Too little","Too little","Too little","About right","About right","About right","About right","some confidence","some confidence","some confidence","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","45 to 59","$60,000 or more","some college","Northeast","central city (top 100)",0,0,NA
"199",199,"female","White","None","liberal","Married","NEVER",NA,"Always wrong","Wrong sometimes",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","great confidence","great confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,NA,"Republican","conservative","30 to 44","$60,000 or more","college graduate","Northeast","central city (top 100)",0,0,1
"200",200,"female","White","Catholic","moderate","Never married","EVERY WEEK","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should not","Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","great confidence","some confidence","some confidence","some confidence","some confidence",NA,"Strong disagree",NA,"Disagree","No","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","moderate","30 to 44","$20,000 to $34,999","college graduate","Northeast","central city (top 100)",0,0,NA
"201",201,"male","White","None","liberal","Married","NEVER","Not wrong at all","Always wrong","Not wrong at all",NA,"Yes","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too much",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Very Much Opposd","Somewhat likely","Independent","moderate","30 to 44","$35,000 to $59,000","high school graduate","Northeast","suburb of biggest 100 cities",0,0,1
"202",202,"male","White","Catholic","moderate","Married","LESS ONCE A YEAR","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should","Approve",NA,NA,NA,NA,NA,NA,NA,"Too much","Too much","Hardly confidnce","some confidence","some confidence","Hardly confidnce","some confidence","some confidence","Strongly agree","Strong disagree","Agree","Strong disagree",NA,"Somewhat Opposed","Not Favor/Opposd",NA,"Independent","conservative","30 to 44","$60,000 or more","some college","Northeast","suburb of biggest 100 cities",0,0,NA
"203",203,"male","White","Catholic","moderate","Married","NEVER",NA,NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove","Too little","Too little","Too little","Too little","Too little","Too little","Too much","About right","About right","Hardly confidnce","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence","Agree","Disagree",NA,"Disagree","No","Not Favor/Opposd","Very Much Opposd",NA,"Independent","moderate","45 to 59","$35,000 to $59,000","high school graduate","Northeast","suburb of biggest 100 cities",0,0,NA
"204",204,"male","White","Catholic","moderate","Never married","ONCE A MONTH","Not wrong at all","Always wrong","Always wrong","Always wrong","Yes","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Somewhat Opposed","Somewhat likely","Democrat","liberal","45 to 59","under $20,000","high school graduate","Northeast","suburb of biggest 100 cities",0,0,NA
"205",205,"female","Black","None","liberal","Never married","NEVER",NA,"Always wrong","Not wrong at all",NA,"Yes","Oppose","Oppose","Should",NA,NA,NA,NA,NA,NA,NA,NA,"Too much","Too little","some confidence","great confidence","great confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Republican","moderate","18 to 29","under $20,000","less than h.s. diploma","Northeast","suburb of biggest 100 cities",0,0,1
"206",206,"female","Other","Catholic","moderate","Married","SEVERAL TIMES YR","Wrong sometimes",NA,NA,"Almst alwys wrng",NA,"Oppose",NA,"Should not","Disapprove","Too little","Too little","About right","Too little","About right","About right","Too little","About right","About right","some confidence","great confidence","some confidence","great confidence","some confidence","some confidence","Agree","Strong disagree","Disagree","Agree","Yes","Not Favor/Opposd","Somewhat Favor",NA,"Democrat","moderate","30 to 44","$20,000 to $34,999","high school graduate","Northeast","suburb of biggest 100 cities",0,0,NA
"207",207,"female","White","Catholic","moderate","Married","SEVERAL TIMES YR",NA,NA,NA,"Always wrong",NA,NA,NA,NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","Too little","some confidence","Hardly confidnce","great confidence","Hardly confidnce","great confidence","Hardly confidnce","Strongly agree","Strong disagree","Disagree","Disagree","Yes","Not Favor/Opposd","Not Favor/Opposd",NA,"Independent","moderate","30 to 44","$20,000 to $34,999","high school graduate","Northeast","central city (top 100)",0,0,NA
"208",208,"female","White","Catholic","moderate","Married","SEVERAL TIMES YR","Not wrong at all","Always wrong","Not wrong at all","Wrong sometimes","No","Favor","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little","About right",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Disagree","Disagree","No","Not Favor/Opposd","Not Favor/Opposd","Not very likely","Republican","liberal","30 to 44","$60,000 or more","some college","Northeast","central city (top 100)",0,0,NA
"209",209,"male","White","None","liberal","Never married","NEVER","Not wrong at all",NA,NA,"Wrong sometimes",NA,"Favor",NA,"Should",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","some confidence","some confidence","some confidence","some confidence","some confidence","Disagree","Agree","Agree","Agree","No","Not Favor/Opposd","Somewhat Opposed",NA,"Republican","liberal","30 to 44","$60,000 or more","high school graduate","Northeast","central city (top 100)",0,0,1
"210",210,"male","White","Protestant","liberal","Married","NEARLY EVERY WK","Wrong sometimes","Always wrong","Always wrong","Almst alwys wrng","No","Oppose","Favor",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"About right","About right",NA,NA,NA,NA,NA,NA,"Disagree","Agree","Strongly agree","Strongly agree","Yes","Not Favor/Opposd","Very Much Favor","Somewhat likely","Republican","conservative","45 to 59","$35,000 to $59,000","high school graduate","Northeast","central city (top 100)",0,1,1
"211",211,"female","Other","Catholic","moderate","Never married","ONCE A MONTH","Wrong sometimes",NA,NA,"Always wrong",NA,"Oppose",NA,"Should not","Approve","Too much","Too little","Too little","About right","Too much","Too little","Too much","Too much","About right","great confidence","great confidence","great confidence","Hardly confidnce","Hardly confidnce","some confidence","Strongly agree","Agree","Strong disagree","Agree","Yes","Somewhat Opposed","Very Much Favor",NA,"Independent","conservative","18 to 29","under $20,000","high school graduate","Northeast","central city (top 100)",0,0,NA
"212",212,"male","Black","None","liberal","Never married","NEARLY EVERY WK",NA,"Almst alwys wrng","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,"About right","Too little","Too much","Too little","About right","Too little","About right","About right","Too little","some confidence","great confidence","some confidence","some confidence","Hardly confidnce","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Republican","moderate","18 to 29","under $20,000","less than h.s. diploma","Northeast","central city (top 100)",0,0,1
"213",213,"female","White","Catholic","moderate","Separated","ONCE OR TWICE YR","Not wrong at all","Always wrong","Not wrong at all","Always wrong","No","Oppose","Oppose",NA,"Approve","About right","About right","Too little","About right","About right",NA,"About right","About right","About right",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Disagree",NA,"Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Independent","moderate","30 to 44",NA,"high school graduate","Northeast","central city (top 100)",0,0,NA
"214",214,"female","White","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","Hardly confidnce","Hardly confidnce",NA,"Hardly confidnce","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Independent",NA,"45 to 59","$20,000 to $34,999","less than h.s. diploma","Northeast","central city (top 100)",0,1,3
"215",215,"female","White","Protestant","fundamentalist","Married","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"Too little","About right","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","45 to 59",NA,"high school graduate","South","other urban county",0,1,3
"216",216,"male","White","Protestant","moderate","Married","NEARLY EVERY WK","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Oppose",NA,"Approve",NA,NA,NA,NA,NA,NA,NA,"Too little",NA,NA,NA,NA,NA,NA,NA,"Strong disagree",NA,"Disagree","Agree","Yes","Not Favor/Opposd","Somewhat Opposed","Somewhat likely","Independent","moderate","60 or older","$35,000 to $59,000","high school graduate","South","other urban county",0,1,NA
"217",217,"female","Black","Protestant","moderate","Married","NEVER",NA,"Wrong sometimes","Not wrong at all",NA,"Yes","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,"About right","About right","some confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Very likely","Republican","conservative","45 to 59","$60,000 or more","high school graduate","South","other urban county",0,1,NA
"218",218,"female","White","Protestant","fundamentalist","Married","EVERY WEEK","Always wrong",NA,NA,"Always wrong",NA,NA,NA,"Should not","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","About right","great confidence","some confidence","some confidence","some confidence","Hardly confidnce","some confidence","Agree","Agree","Disagree","Agree","No","Not Favor/Opposd","Very Much Opposd",NA,"Republican","conservative","30 to 44","$60,000 or more","college graduate","South","other urban county",0,1,3
"219",219,"female","White","Protestant",NA,"Married","NEVER","Wrong sometimes",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve","Too little","About right","Too little","About right","Too little","Too much","Too much","Too little","Too much","some confidence","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Hardly confidnce","Agree","Strong disagree","Disagree","Disagree","No","Somewhat Favor","Somewhat Opposed",NA,"Republican","moderate","30 to 44","$20,000 to $34,999","less than h.s. diploma","South","other urban county",0,1,NA
"220",220,"female","White","Protestant","fundamentalist","Widowed","NEARLY EVERY WK",NA,"Always wrong","Always wrong",NA,"No","Oppose","Favor","Should not",NA,"Too much","About right","About right","Too much","Too little","Too much","Too much","Too much","Too much","great confidence","some confidence","Hardly confidnce","Hardly confidnce","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Republican","conservative","60 or older",NA,"high school graduate","South","other urban county",0,1,3
"221",221,"female","White","None","liberal","Never married","LESS ONCE A YEAR",NA,"Always wrong","Not wrong at all",NA,"Yes","Oppose","Favor","Should",NA,"About right","Too little","Too little","Too little","Too little","About right","About right","About right","About right","Hardly confidnce","some confidence",NA,"some confidence","great confidence","Hardly confidnce",NA,NA,NA,NA,NA,NA,NA,"Very likely","Independent","liberal","18 to 29","under $20,000","high school graduate","South","other urban county",0,0,1
"222",222,"female","White","Protestant","fundamentalist","Divorced","NEVER",NA,"Wrong sometimes","Always wrong",NA,"Yes","Favor","Favor","Should not",NA,"About right","Too little",NA,"Too little","Too little","About right","Too little",NA,NA,"some confidence","some confidence","some confidence","some confidence","some confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Independent",NA,"18 to 29","under $20,000","high school graduate","South","other urban county",0,1,3
"223",223,"female","White","Protestant","fundamentalist","Widowed","NEVER","Always wrong","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Approve","Too little",NA,"Too little","Too little","Too little","Too much","About right","Too little",NA,NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Agree","Yes","Very Much Opposd","Very Much Opposd","Somewhat likely","Republican","conservative","60 or older",NA,"some college","South","other urban county",0,1,3
"224",224,"male","White","None","liberal","Never married","NEVER","Not wrong at all","Not wrong at all","Not wrong at all","Not wrong at all","Yes","Oppose","Favor",NA,"Approve","About right","Too little","About right","About right","Too little","Too little","About right","About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Disagree","Yes","Somewhat Favor","Very Much Favor","Not very likely","Independent","liberal","18 to 29","under $20,000","some college","South","other urban county",0,0,1
"225",225,"female","Other","None","liberal","Never married","NEVER","Not wrong at all","Almst alwys wrng",NA,"Not wrong at all","Yes","Favor","Favor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"About right","Too little",NA,NA,NA,NA,NA,NA,"Agree","Disagree","Agree","Disagree","Yes","Somewhat Opposed","Somewhat Opposed","Not very likely","Independent","moderate","18 to 29","under $20,000","high school graduate","South","other urban county",0,0,1
"226",226,"female","White","Protestant","fundamentalist","Married","ONCE A MONTH","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Disapprove",NA,NA,NA,NA,NA,NA,NA,"About right","Too little","some confidence","Hardly confidnce","some confidence","Hardly confidnce","some confidence","some confidence","Strongly agree","Disagree","Disagree","Strongly agree","Yes","Not Favor/Opposd","Very Much Opposd",NA,"Independent","conservative","30 to 44","$35,000 to $59,000","college graduate","South","other urban county",0,1,3
"227",227,"female","White","Protestant","liberal","Married","2-3 TIMES MONTH","Not wrong at all","Always wrong","Not wrong at all","Always wrong","No","Favor","Oppose",NA,"Approve","About right","Too little","Too little","Too little","About right","About right","Too much","About right","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Strong disagree","Strong disagree","Strong disagree","No","Somewhat Favor","Very Much Favor",NA,"Democrat","moderate","18 to 29","$35,000 to $59,000","college graduate","North Central","other urban county",0,1,1
"228",228,"male","White","Protestant","liberal","Married","NEVER","Almst alwys wrng","Always wrong","Always wrong","Always wrong","No","Favor","Favor",NA,"Approve","About right","Too little","About right","Too little","About right","Too little","Too little","Too little","About right",NA,NA,NA,NA,NA,NA,"Disagree","Disagree","Agree","Agree","Yes","Very Much Opposd","Very Much Opposd","Not very likely","Democrat","conservative","60 or older","under $20,000","less than h.s. diploma","North Central","other urban county",0,1,1
"229",229,"male","White","Protestant","liberal","Married","NEVER","Wrong sometimes","Always wrong","Not wrong at all","Always wrong","No","Favor","Oppose",NA,"Disapprove","Too little","Too little","Too little","Too little","Too little","Too little","Too much","Too little","About right",NA,NA,NA,NA,NA,NA,"Strongly agree","Disagree","Disagree","Disagree","No","Somewhat Opposed","Not Favor/Opposd","Somewhat likely","Republican","moderate","45 to 59","$60,000 or more","some college","North Central","other urban county",0,1,1
"230",230,"female","Black","Protestant","moderate","Divorced","ONCE OR TWICE YR","Not wrong at all",NA,NA,"Always wrong",NA,"Favor",NA,"Should","Approve","Too little","Too little","Too little",NA,"Too little","About right","About right","Too little","Too little","some confidence","some confidence","some confidence","some confidence","some confidence","some confidence","Disagree","Disagree","Agree","Disagree","No","Not Favor/Opposd","Somewhat Favor",NA,"Independent","moderate","45 to 59","$20,000 to $34,999","high school graduate","North Central","other urban county",0,1,NA
"231",231,"female","White","Protestant","liberal","Never married","LESS ONCE A YEAR",NA,"Always wrong","Always wrong",NA,"Yes","Favor","Oppose","Should not",NA,NA,"Too little","Too little","Too little","Too little","Too little","About right","About right",NA,NA,"great confidence","some confidence","some confidence","great confidence","some confidence",NA,NA,NA,NA,NA,NA,NA,"Somewhat likely","Democrat","moderate","30 to 44","$20,000 to $34,999","high school graduate","North Central","other urban county",0,1,1
"232",232,"female","White",NA,NA,"Separated","SEVERAL TIMES YR","Not wrong at all","Almst alwys wrng","Always wrong","Almst alwys wrng","No","Favor","Favor",NA,"Disapprove",NA,NA,NA,NA,NA,NA,NA,"Too little","About right",NA,NA,NA,NA,NA,NA,"Agree","Strong disagree","Disagree","Strong disagree","Yes","Not Favor/Opposd","Not Favor/Opposd","Somewhat likely","Democrat","moderate","45 to 59","$35,000 to $59,000","high school graduate","North Central","other urban county",0,0,NA
"233",233,"male","White","Protestant","fundamentalist","Married","EVERY WEEK",NA,"Always wrong","Always wrong",NA,"No","Favor","Favor","Should not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"great confidence","great confidence","some confidence","Hardly confidnce","great confidence","great confidence",NA,NA,NA,NA,NA,NA,NA,"Not very likely","Democrat","conservative","30 to 44","$35,000 to $59,000","college graduate","West","other urban county",0,1,3
